###Format is name, language as an iteger (from megamek's masterancestry.txt file)
Boucher, 1
Boudreau, 1
Boudreaux, 1
Bouffard, 1
Boughey, 1
Boughton, 1
Bouie, 1
Boulanger, 1
Bould, 1
Boulden, 1
Bouldin, 1
Boulogne, 1
Boultbee, 1
Boulter, 1
Boulton, 1
Boulware, 1
Bound, 1
Bounds, 1
Boundy, 1
Bourchier, 1
Bourdon, 1
Bourg, 1
Bourgeois, 1
Bourke, 1
Bourland, 1
Bourne, 1
Bourner, 1
Bourns, 1
Bourque, 1
Bousquet, 1
Boutin, 1
Bouton, 1
Boutte, 1
Boutwell, 1
Bouverie, 1
Bove, 1
Bovey, 1
Bow, 1
Bowden, 1
Bowditch, 1
Bowdler, 1
Bowe, 1
Bowen, 1
Bowens, 1
Bower, 1
Bowering, 1
Bowers, 1
Bowes, 1
Bowie, 1
Bowker, 1
Bowler, 1
Bowles, 1
Bowlin, 1
Bowling, 1
Bowmaker, 1
Bowman, 1
Bowmer, 1
Bowse, 1
Bowser, 1
Bowyer, 1
Box, 1
Boxer, 1
Boxx, 1
Boyall, 1
Boyce, 1
Boyd, 1
Boyer, 1
Boyes, 1
Boyett, 1
Boykin, 1
Boykins, 1
Boylan, 1
Boyland, 1
Boyle, 1
Boyles, 1
Boynton, 1
Boyson, 1
Bozarth, 1
Bozeman, 1
Brabant, 1
Brabazon, 1
Brace, 1
Bracey, 1
Bracher, 1
Brack, 1
Bracken, 1
Brackenbury, 1
Brackenridge, 1
Brackett, 1
Brackin, 1
Bracy, 1
Bradberry, 1
Bradburn, 1
Bradbury, 1
Bradby, 1
Braddock, 1
Braddy, 1
Braden, 1
Bradfield, 1
Bradford, 1
Bradley, 1
Bradly, 1
Bradridge, 1
Bradshaw, 1
Bradsher, 1
Brady, 1
Brafield, 1
Bragdon, 1
Bragg, 1
Braggs, 1
Brainard, 1
Braithwaite, 1
Brake, 1
Braley, 1
Bramall, 1
Bramble, 1
Bramblett, 1
Brame, 1
Bramlett, 1
Brammall, 1
Brammer, 1
Brampton, 1
Bramwell, 1
Branch, 1
Brand, 1
Brandenburg, 1
Brandley, 1
Brandon, 1
Brandt, 1
Branham, 1
Branigan, 1
Brankin, 1
Brann, 1
Brannan, 1
Brannen, 1
Brannon, 1
Bransfield, 1
Branson, 1
Branstetter, 1
Brant, 1
Brantley, 1
Branton, 1
Branum, 1
Branwell, 1
Brasfield, 1
Brashear, 1
Brashears, 1
Brasher, 1
Brasnett, 1
Braswell, 1
Bratcher, 1
Brathwaite, 1
Bratton, 1
Braud, 1
Brauer, 1
Braun, 1
Braund, 1
Brawley, 1
Brawner, 1
Braxton, 1
Bray, 1
Brayley, 1
Braytham, 1
Braythwayt, 1
Brayton, 1
Brazelton, 1
Brazier, 1
Breach, 1
Breadalbane, 1
Breakspear, 1
Breakwell, 1
Brear, 1
Brears, 1
Brearton, 1
Breary, 1
Breault, 1
Breaux, 1
Breayley, 1
Brebner, 1
Breckenridge, 1
Brecknell, 1
Breed, 1
Breeden, 1
Breeding, 1
Breedlove, 1
Breen, 1
Breese, 1
Brehm, 1
Breland, 1
Bremer, 1
Brenchley, 1
Brendon, 1
Brennan, 1
Brenneman, 1
Brenner, 1
Brent, 1
Brenton, 1
Brereton, 1
Breslin, 1
Bresnahan, 1
Bresnan, 1
